-0.0464155,0.0205909,-0.0428514,20583.6,-8774.79,18381.3
-0.00555886,0.0565397,0.00462425,3792.03,-23557.6,-1133.01
0.094919,0.0782661,0.117797,-37489,-32485.6,-47632.4
-0.0164135,-0.00082507,0.0118151,8255.15,26.584,-4086.52
0.190621,0.2022,-0.048876,-76756,-83352.3,20830.7
0.0107204,-0.00930365,-0.00332482,-2897.28,3512.49,2137.51
0.0632772,0.0603421,-0.0529534,-24497.8,-25117.5,22531.7
0.0938608,0.0636352,0.0457151,-37062.5,-26474.8,-18018.4
-0.0065363,-0.00405969,0.00738093,4195.52,1356.43,-2263.58
0.307057,0.122872,0.29375,-124343,-50707.9,-119638
0.237299,-0.0671844,0.122518,-95917.3,27269.2,-49530.6
0.0429787,0.0414776,0.0213543,-16155.9,-17367,-8008.06
0.112458,-0.0860297,-0.030143,-44698.2,35046.4,13162.2
-0.608861,0.0295679,-0.89673,247440,-12202.8,363034
-0.051271,-0.0744322,0.205117,22570.9,30260.6,-83479.9
-0.233661,-0.115745,0.0973755,97440,47223.7,-39209.7
-0.295369,-2.45659,-0.731589,111897,918644,274359
-0.0811961,-0.0470367,-0.0215359,34877.5,19026.8,9621.88
-0.0995856,0.464465,-0.125161,42277,-190588,52009.9
0.333804,1.47226,0.427951,-130950,-584427,-169062
-0.0256478,0.10347,-0.339253,12019.9,-42758.2,139951
0.00873659,0.0597666,0.00346566,-2083.42,-24884.5,-656.703
0.088839,0.142036,0.0648262,-34991.6,-58688,-25869.2
0.00042131,0.00644674,-0.0101021,1335.28,-2962.67,4922.44
0.0424525,0.0319628,0.0202833,-15939.6,-13455.4,-7567.53
1.0346,0.448599,-0.874966,-411408,-179354,349925
-0.00811068,0.12496,0.355638,4835.11,-51597.9,-145120
-1.85436,-4.51971,11.6135,187612,456333,-1.1724e+06
0.100766,-0.161497,-0.171038,-39868,66028.3,71015.9
-0.00859296,-0.330975,-0.00605966,5041.71,135551,3270.04
-5.07539,-6.79454,-4.21314,812077,1.08678e+06,673795
0.00213071,0.105656,0.0344112,630.862,-43746.4,-13376.5
-0.0159243,-0.0144379,-0.0239046,8053.75,5624.91,10596.4
0.39454,-0.22274,0.392141,-159809,90766.5,-159574
-0.164572,0.105579,-0.206653,69060.5,-43655,85602.8
0.00090707,0.0215816,-0.0455002,1134.63,-9183.45,19471.4
0.0185266,0.019607,0.0060179,-6106.28,-8374.57,-1703.91
4.72526,-0.13569,1.36006,-1.4121e+06,40257.9,-406270
-2.18612,1.42482,3.06178,722097,-470271,-1.00912e+06
0.0404126,-0.0655468,0.052702,-15097.1,26630.4,-20886.9
-0.0114849,-0.427572,0.117053,6225.74,174977,-47190.6
-0.0240479,0.0205142,0.0392621,11392.5,-8747.68,-15369.1
-0.153679,0.0711008,0.111347,64633.8,-29528.3,-44976.9
0.0449376,0.0927917,-0.105903,-16959.7,-38447.6,44283.8
